fullName,firstName,lastName,id,department,overallRating,numEvals
Parisa Mahjoor,Parisa,Mahjoor,0038ea39-3910-4f80-9353-41dce33c754d,CHEM,0.64,17
Chris Clark,Chris,Clark,0073fed6-e0f6-48f0-bdf4-e5e0eccd445c,CSC,3.67,10
Tiev LaGuire,Tiev,LaGuire,00933936-63a6-4486-8bfa-ac53f1794a72,FSN,2.57,13
Danielle Steussy,Danielle,Steussy,0099c43a-2262-4788-a0a9-dc920cce01b9,GRC,3,1
Amanda Lathrop,Amanda,Lathrop,00f2faeb-fd74-42d0-a3dc-80399f998432,FSN,2.22,8
Nancy Rucci,Nancy,Rucci,014d53f2-90d0-46ad-a3fc-0877e2238b08,SPAN,2.5,12
Cheryl-lyn Ngoh,Cheryl-lyn,Ngoh,0152ac87-4953-4fba-85b7-eeb0f6ac045f,BUS,2.4,5
Jean Athey,Jean,Athey,015ecf8c-bbc3-4c19-bf85-65f9beded8a4,BUS,2,5
Skye Paul,Skye,Paul,0174f42e-ec70-4a7a-a124-e85ecfc5d60e,MATH,4,4
Jefferson Clarke,Jefferson,Clarke,017f29b7-4dd0-4a96-8ac6-a4f92919669d,ART,2.38,13
Scott Glysson,Scott,Glysson,01a36da7-aa2e-4035-9c30-3e4e4f1a8a57,MU,4,2
Mark Roberts,Mark,Roberts,01a5e077-8211-43fb-9f63-1185f25c852d,ENGL,3.82,213
Steve Drasco,Steve,Drasco,01fd32c7-541d-4ce7-bf51-27fda36299ae,PHYS,2.26,24
Allan Glover,Allan,Glover,022bc4b1-a0b8-4eb2-a212-a4234973de94,ME,4,2
Marc J. Neveu,Marc J.,Neveu,023a7952-a1db-4628-8bc7-08c35884c15d,ARCH,2.91,22
Victor Granados,Victor,Granados,0279d93b-b47d-4eb3-aa12-3379b4649668,MATE,1.96,24
Alvin DeJong,Alvin,DeJong,027c1d32-e1fd-4096-bc77-3d94afdfd10f,BIO,2.77,29
Taufik Taufik,Taufik,Taufik,028ad02e-f779-449b-a6fb-9e87e8f82215,EE,4,5
Darrian Carroll,Darrian,Carroll,02c1242e-ae8d-43c2-bf0c-43eba8793f25,COMS,4,12
Michael Cirovic,Michael,Cirovic,02c296ab-bd67-46c5-8647-5305d6f84824,EE,1.39,24
Gabriel Kaprielian,Gabriel,Kaprielian,02d1d453-2d00-4512-813d-fee0c7d2105c,ARCH,3,1
Daniel Peterson,Daniel,Peterson,03040f52-439a-46cc-9f73-19037e424090,ASCI,2.78,34
Tanya Chroman,Tanya,Chroman,031a6bf3-e433-4149-a82f-f6488c282eec,SPAN,3.35,23
Andrew Timothy Douglas,Andrew Timothy,Douglas,0321ac06-30e3-4cf5-a8d4-d426b4e25021,PHYS,2.55,55
Angela Bracco,Angela,Bracco,032e275d-c77c-4f39-9367-b705d84fc98b,ARCH,2.97,21
Shelley Hurt,Shelley,Hurt,032eaa04-00bc-43c7-a5b1-feb019ed5633,POLS,1.73,98
Kyle Rachman,Kyle,Rachman,033282a5-f663-46f7-b64d-bd33fc7a9911,MATH,4,2
Carlos Soto,Carlos,Soto,0351fa69-28bb-44a9-8e15-98d3f296f0ec,ME,3,2
Lei-da Chen,Lei-da,Chen,03614e87-82c5-4cc8-b96e-760137c06b49,BUS,3.55,10
G.W. Bates,G.W.,Bates,03885fcb-8b6d-4ef4-a22f-93967d07515b,BRAE,2.91,18
Mason OLeary,Mason,OLeary,03a195d6-44a4-4e94-bee6-976383c3b825,MATH,3.85,7
John Keller,John,Keller,03f34116-668c-4401-9ed9-d243b813edcb,PHYS,3.36,22
Rod Schoonover,Rod,Schoonover,03fbfc37-b61c-4172-8a45-0b5a8cf359b1,CHEM,3.74,208
Daniel Namyst,Daniel,Namyst,04338721-5118-4c24-850f-a87e72006dc0,BRAE,3,3
John Dobson,John,Dobson,04433277-a88a-440c-9d3c-e829c8eb9c95,BUS,2.72,71
William Preston,William,Preston,04472feb-9d1b-453b-8b89-c377d2562008,SOC,3.5,63
Frank Nolan,Frank,Nolan,0452f2b6-2810-4f6f-a8f3-c11270778b52,COMS,3.03,104
J. Wyatt Brown,J. Wyatt,Brown,04c6a23d-76e1-4c47-a861-a00ffa1abd97,AEPS,2,27
Nalinjan Mitra,Nalinjan,Mitra,04cbe9d4-b7a6-4a78-9b3b-3ade9a3a46c8,CE,1.67,9
