id,firstName,lastName,fullName,department,numEvals,overallRating,materialClear,studentDifficulties,courses,tags,courses_count,tags_count
0038ea39-3910-4f80-9353-41dce33c754d,Parisa,Mahjoor,Parisa Mahjoor,CHEM,17,0.64,0.82,0.46,CHEM 110; CHEM 127; CHEM 316,Does Not Use Canvas:1; Uploads Slides:1; Hybrid Option:1; Recorded Lectures:1; Zoom Office Hours:1,3,5
0073fed6-e0f6-48f0-bdf4-e5e0eccd445c,Chris,Clark,Chris Clark,CSC,10,3.67,3.58,3.67,CPE 103; CSC 103; CPE 123; CPE 481,Fast Response Time:1; Flexible Attendance Policy:1; Class Handouts:1,4,3
00933936-63a6-4486-8bfa-ac53f1794a72,Tiev,LaGuire,Tiev LaGuire,FSN,13,2.57,2.57,2.71,FSN 210; FSN 250; FSN 251,,3,0
0099c43a-2262-4788-a0a9-dc920cce01b9,Danielle,Steussy,Danielle Steussy,GRC,1,3,3,4,GRC,Fast Response Time:1; Flexible Deadline Policy:1,1,2
00f2faeb-fd74-42d0-a3dc-80399f998432,Amanda,Lathrop,Amanda Lathrop,FSN,8,2.22,2.67,1.89,FSN 125; FSN 275,,2,0
014d53f2-90d0-46ad-a3fc-0877e2238b08,Nancy,Rucci,Nancy Rucci,SPAN,12,2.5,2.5,2.64,SPAN 101; SPAN 102; SPAN 111; SPAN 201; SPAN 202; SPAN 203,,6,0
0152ac87-4953-4fba-85b7-eeb0f6ac045f,Cheryl-lyn,Ngoh,Cheryl-lyn Ngoh,BUS,5,2.4,3.4,3,BUS 418,Class Handouts:1; Inflexible Deadline Policy:1; Supplemental Study Material:1; Fast Response Time:1; Honor DRC Accommodations:1; Uploads Slides:1,1,6
015ecf8c-bbc3-4c19-bf85-65f9beded8a4,Jean,Athey,Jean Athey,BUS,5,2,2.44,2.11,BUS 291; BUS 391,,2,0
0174f42e-ec70-4a7a-a124-e85ecfc5d60e,Skye,Paul,Skye Paul,MATH,4,4,4,4,MATH 118; MATH 221,Fast Response Time:2; Flexible Attendance Policy:2; Flexible Grading Policy:3; High In-Person Availability:1; Flexible Deadline Policy:1,2,5
017f29b7-4dd0-4a96-8ac6-a4f92919669d,Jefferson,Clarke,Jefferson Clarke,ART,13,2.38,2.95,3.04,ART 101; ART 121; ART 122; ART 182; ART 221; ART 222,,6,0
01a36da7-aa2e-4035-9c30-3e4e4f1a8a57,Scott,Glysson,Scott Glysson,MU,2,4,4,4,MU 185,Class Handouts:1,1,1
01a5e077-8211-43fb-9f63-1185f25c852d,Mark,Roberts,Mark Roberts,ENGL,213,3.82,3.89,3.84,ENGL 101; ENGL 114; ENGL 134; ENGL 143; ENGL 145; HNRS 145; ENGL 201; ENGL 215; ENGL 251; ENGL 253; ENGL 302,High In-Person Availability:3; Pop Quizzes:6; Fast Response Time:5; Class Handouts:2; Inflexible Attendance Policy:1; Inflexible Deadline Policy:1; Supplemental Study Material:4; Flexible Deadline Policy:1,11,8
01fd32c7-541d-4ce7-bf51-27fda36299ae,Steve,Drasco,Steve Drasco,PHYS,24,2.26,2.33,2.19,ASTR 101; PHYS 132; PHYS 133; PHYS 141; PHYS 211,,5,0
022bc4b1-a0b8-4eb2-a212-a4234973de94,Allan,Glover,Allan Glover,ME,2,4,3.5,4,ME 251; ME 130,High In-Person Availability:1; Flexible Grading Policy:1; Inflexible Attendance Policy:1; Pop Quizzes:1,2,4
023a7952-a1db-4628-8bc7-08c35884c15d,Marc J.,Neveu,Marc J. Neveu,ARCH,22,2.91,2.96,2.57,ARCH 218; ARCH 219; ARCH 351; ARCH 420,,4,0
0279d93b-b47d-4eb3-aa12-3379b4649668,Victor,Granados,Victor Granados,MATE,24,1.96,1.81,2.07,MATE 210; MATE 215; MATE 225; MATE 470,,4,0
027c1d32-e1fd-4096-bc77-3d94afdfd10f,Alvin,DeJong,Alvin DeJong,BIO,29,2.77,2.74,2.26,BIO 115; BIO 145; BIO 151; BIO 153; BIO 161; BIO 361; BIO 431; BIO 432; BIO 433,,9,0
028ad02e-f779-449b-a6fb-9e87e8f82215,Taufik,Taufik,Taufik Taufik,EE,5,4,4,4,EE 302; EE 212; EE 410; EE 411,Recorded Lectures:1; Fast Response Time:1; Flexible Grading Policy:1; Zoom Office Hours:1,4,4
02c1242e-ae8d-43c2-bf0c-43eba8793f25,Darrian,Carroll,Darrian Carroll,COMS,12,4,4,4,COMS 332; COMS 205; COMS 435,High In-Person Availability:1; Flexible Deadline Policy:2; Supplemental Study Material:2; Fast Response Time:2; Uploads Slides:1; Zoom Office Hours:1,3,6
02c296ab-bd67-46c5-8647-5305d6f84824,Michael,Cirovic,Michael Cirovic,EE,24,1.39,1.57,1.43,EE 109; EE 110; EE 309; EE 409; EE 460,,5,0
02d1d453-2d00-4512-813d-fee0c7d2105c,Gabriel,Kaprielian,Gabriel Kaprielian,ARCH,1,3,3,4,ARCH 252,,1,0
03040f52-439a-46cc-9f73-19037e424090,Daniel,Peterson,Daniel Peterson,ASCI,34,2.78,3,2.69,ASCI 112; ASCI 211; ASCI 304; ASCI 320; ASCI 403; ASCI 476; ASCI 479,,7,0
031a6bf3-e433-4149-a82f-f6488c282eec,Tanya,Chroman,Tanya Chroman,SPAN,23,3.35,3.44,3.44,SPAN 101; SPAN 102; SPAN 103; SPAN 124; SPAN 202; SPAN 203; WLC 310,Flexible Attendance Policy:1; Class Handouts:1; Uploads Slides:1,7,3
0321ac06-30e3-4cf5-a8d4-d426b4e25021,Andrew Timothy,Douglas,Andrew Timothy Douglas,PHYS,55,2.55,2.41,2.46,PHYS 121; PHYS 122; PHYS 123; PHYS 132; PHYS 133; PHYS 141,,6,0
032e275d-c77c-4f39-9367-b705d84fc98b,Angela,Bracco,Angela Bracco,ARCH,21,2.97,2.63,2.81,ARCH 131; ARCH 132; ARCH 133; ARCH 251; ARCH 252,Inflexible Attendance Policy:1,5,1
032eaa04-00bc-43c7-a5b1-feb019ed5633,Shelley,Hurt,Shelley Hurt,POLS,98,1.73,1.74,1.68,POLS 111; POLS 225; POLS 325; POLS 333; POLS 420; POLS 421; POLS 426; POLS 451; POLS 461,Hybrid Option:1; Zoom Office Hours:2,9,2
033282a5-f663-46f7-b64d-bd33fc7a9911,Kyle,Rachman,Kyle Rachman,MATH,2,4,3,4,MATH 118,,1,0
0351fa69-28bb-44a9-8e15-98d3f296f0ec,Carlos,Soto,Carlos Soto,ME,2,3,3,3,ME; ME 228,,2,0
03614e87-82c5-4cc8-b96e-760137c06b49,Lei-da,Chen,Lei-da Chen,BUS,10,3.55,3.45,3.45,BUS 319; BUS 391; BUS 491,,3,0
03885fcb-8b6d-4ef4-a22f-93967d07515b,G.W.,Bates,G.W. Bates,BRAE,18,2.91,2.7,2.75,BRAE 232; BRAE 237; BRAE 239; BRAE 340,Fast Response Time:2; Uploads Slides:2; High In-Person Availability:1,4,3
03a195d6-44a4-4e94-bee6-976383c3b825,Mason,OLeary,Mason OLeary,MATH,7,3.85,3.43,4,MATH 118; MATH 221,Fast Response Time:3; Supplemental Study Material:1; Class Handouts:2; Honor DRC Accommodations:1; High In-Person Availability:1,2,5
03f34116-668c-4401-9ed9-d243b813edcb,John,Keller,John Keller,PHYS,22,3.36,3.28,3.44,PSC 101; ASTR 102; PHYS 103; PSC 103; PHYS 133; ASTR 301,,6,0
03fbfc37-b61c-4172-8a45-0b5a8cf359b1,Rod,Schoonover,Rod Schoonover,CHEM,208,3.74,3.74,3.67,CHEM 111; CHEM 124; CHEM 125; CHEM 127; CHEM 128; CHEM 129; CHEM 138; CHEM 305; CHEM 312; CHEM 350; CHEM 351; CHEM 352; CHEM 353; CHEM 355; CHEM 405,,15,0
04338721-5118-4c24-850f-a87e72006dc0,Daniel,Namyst,Daniel Namyst,BRAE,3,3,2.33,3.33,BRAE 239,Inflexible Attendance Policy:2; Uploads Slides:2; Inflexible Deadline Policy:1,1,3
04433277-a88a-440c-9d3c-e829c8eb9c95,John,Dobson,John Dobson,BUS,71,2.72,2.56,2.69,BUS 301; BUS 342; BUS 346; BUS 404; BUS 436; BUS 443; BUS 445; BUS 498,Recorded Lectures:1; Fast Response Time:1,8,2
04472feb-9d1b-453b-8b89-c377d2562008,William,Preston,William Preston,SOC,63,3.5,3.65,3.48,ENVE 144; GEOG 250; GEOG 308; SOC 308; GEOG 315; GEOG 325; GEOG 333; SOC 333; POLS 350,,9,0
0452f2b6-2810-4f6f-a8f3-c11270778b52,Frank,Nolan,Frank Nolan,COMS,104,3.03,2.96,2.87,SPC 101; SPC 125; PHIL 126; SCM 126; CM 145; COMS 145; ENGL 145; SCM 145; SPC 145; SPC 201,,10,0
04c6a23d-76e1-4c47-a861-a00ffa1abd97,J. Wyatt,Brown,J. Wyatt Brown,AEPS,27,2,2.28,1.69,FRSC 110; CRSC 120; CRSC 190; VGSC 190; CRSC 210; VGSC 220; CRSC 230; VGSC 230; VGSC 231; CRSC 232; CRSC 250; CRSC 401; CRSC 421; FRSC 461,,14,0
04cbe9d4-b7a6-4a78-9b3b-3ade9a3a46c8,Nalinjan,Mitra,Nalinjan Mitra,CE,9,1.67,1.67,1.58,CE 207; CE 259,,2,0
04ce448a-b17f-4a55-98b6-ce874d0509b2,Katherine,Beglin,Katherine Beglin,ENGL,2,3.33,2.67,3,ENGL 134,,1,0
04fe35b3-75ac-4caa-aef1-5be56cc90aef,Farah,Al-Nakib,Farah Al-Nakib,HIST,2,4,4,4,HIST 313,,1,0
0528f8e8-f58a-40db-a147-61d52df36bf3,Peter,Kremidas,Peter Kremidas,TH,1,4,4,4,TH,,1,0
05419690-83c6-42cf-9736-b7d218b51f52,Alypios,Chatziioanou,Alypios Chatziioanou,CE,22,3.22,3.13,3.09,CE 112; CE 114; CE 221; CE 322; CE 525,,5,0
056fe509-c073-4dd1-b3b9-3e2495033075,Michael,Winn,Michael Winn,ENGL,109,2.65,2.66,2.68,CM 101; COMS 101; ENGL 101; SCM 101; SPC 101; CM 102; COMS 102; ENGL 102; SCM 102; SCM 112,,10,0
05710293-567d-496e-a721-9481316482f3,Isaac,Comelli,Isaac Comelli,MATH,1,2.5,2.5,2,MATH 118,,1,0
057f7178-7610-4370-98f0-864a73dc5e4f,Rachel,Johnson,Rachel Johnson,CHEM,1,4,3,4,CHEM,Fast Response Time:1; Class Handouts:1; Uploads Slides:1,1,3
05cc433b-cd90-4189-ad8a-99baadf5900f,Noel,Ellis,Noel Ellis,EE,6,3.67,3.5,3.83,EE 245; EE 113; EE 151,Flexible Attendance Policy:1; Fast Response Time:2; Pop Quizzes:2; Uploads Slides:2,3,4
05d770d6-bd25-4703-b1d5-bed534f83c2e,Linda,Vannasupa,Linda Vannasupa,MATE,14,2.54,2.54,2.46,MATE 110; MATE 120; MATE 130; MATE 210; MATE 215; MATE 232; MATE 350; MATE 400; MATE 425; MATE 470,,10,0
05e0f746-f498-455f-9a08-e6e5dade0897,Jean-Francois,Coget,Jean-Francois Coget,BUS,26,3.29,3.5,3.04,BUS 387,,1,0
05f1ec78-a596-4c98-820a-d9ed186fb9e1,Laura,Hunkler,Laura Hunkler,COMS,12,3.59,3.59,3.67,COMS 101; BUS 206; COMS 301,High In-Person Availability:2; Fast Response Time:4; Honor DRC Accommodations:1; Uploads Slides:3; Inflexible Attendance Policy:1; Inflexible Deadline Policy:1; Inflexible Grading Policy:1,3,7
05f5070e-63cd-43f7-b0fd-3213c59fec71,Karen,Bangs,Karen Bangs,IME,36,2.11,1.92,2.14,IME 101; IME 223; IME 239; IME 303; IME 314; IME 319; IME 401; IME 430,,8,0
06073a33-d9f7-4353-98fb-3229ce966877,Christopher,Den Hartog,Christopher Den Hartog,POLS,94,3.28,3.35,3.18,POLS 112; POLS 210; POLS 315; POLS 318; POLS 319; POLS 375,Flexible Attendance Policy:1; Flexible Grading Policy:1,6,2
061e9c47-c43a-4721-b2fa-a576ecc32735,Amy,Wiley,Amy Wiley,ENGL,90,3.01,2.89,3.13,ENGL 134; ENGL 145; HNRS 145; ENGL 150; ENGL 231; ENGL 251; HNRS 251; ENGL 252; ENGL 253; ENGL 350,,10,0
062f35eb-8414-43c6-aad5-a16b86da4688,Zahra,Rasti,Zahra Rasti,ARCH,3,0,0,0,ARCH 253; ARCH 251,,2,0
06532128-f8b0-4514-a33b-1c6429974263,Adam,Gray,Adam Gray,CSC,1,2,2,3,CSC 110,,1,0
0655c4ba-79ab-4c0a-a24b-58eb883a3e4c,Terry,Jones,Terry Jones,SOC,103,3.35,3.47,3.19,ANT 201; SOC 201; ANT 202; SOC 202; ANT 206; ANT 210; ANT 309; ANT 311; ANT 312; ANT 320,Zoom Office Hours:1; Flexible Attendance Policy:1; Uploads Slides:1,10,3
06772524-93d2-450b-b82d-4f31ea630828,Dulce,Romero-Urbina,Dulce Romero-Urbina,HLTH,14,4,4,3.79,HLTH 250; HLTH 255,Hybrid Option:3; Fast Response Time:3; Zoom Office Hours:3; Flexible Deadline Policy:1; Flexible Grading Policy:2; Inflexible Deadline Policy:1; Inflexible Grading Policy:1; Uploads Slides:1,2,8
06824399-5145-4438-9b25-a8b2138089ea,Brian,Hampson,Brian Hampson,FSN,9,2.08,2.33,2,FSN 230; FSN 335; FSN 341; FSN 408,,4,0
068c2ad3-6d35-40e4-ab6f-a8806689c547,Teresiana,Matarrese,Teresiana Matarrese,ITAL,7,3.57,3.57,3.57,ITAL 101; WLC 310; ITAL 103; ITAL 201,Fast Response Time:1; Flexible Grading Policy:2; Uploads Slides:2; Recorded Lectures:1; Zoom Office Hours:1; Inflexible Grading Policy:1; High In-Person Availability:1; Flexible Deadline Policy:1,4,8
